age,income,tenure,region,plan_type,is_active,churn
34.0,10750.0,8.0,East,Premium,True,yes
58.0,24750.0,19.0,North,Premium,True,no
61.0,18250.0,15.0,South,Standard,False,no
46.0,8750.0,23.0,East,Basic,False,
30.0,11500.0,10.0,West,Basic,True,yes
,12000.0,22.0,West,Standard,False,yes
68.0,32250.0,46.0,South,Premium,False,no
51.0,9750.0,26.0,East,Basic,True,no
31.0,6000.0,0.0,South,Basic,True,no
68.0,18750.0,5.0,North,Premium,True,yes
60.0,11250.0,15.0,West,Standard,True,no
29.0,28250.0,0.0,West,Premium,True,no
43.0,12500.0,22.0,North,Standard,True,yes
36.0,6500.0,16.0,North,Basic,True,no
56.0,9750.0,,North,Basic,True,no
64.0,5000.0,46.0,West,Basic,True,no
57.0,6250.0,5.0,South,Basic,True,yes
50.0,5500.0,26.0,South,Basic,False,yes
37.0,16750.0,14.0,North,Premium,True,no
46.0,24250.0,29.0,West,Premium,True,no
21.0,,27.0,East,Basic,True,no
,9750.0,14.0,North,Premium,True,no
29.0,21250.0,,South,Premium,False,no
47.0,5750.0,36.0,South,Basic,True,
29.0,8000.0,5.0,West,Standard,True,no
47.0,10750.0,2.0,North,Basic,False,yes
41.0,9000.0,26.0,South,Standard,True,no
21.0,4750.0,24.0,East,Basic,False,yes
37.0,10250.0,6.0,,Standard,False,yes
43.0,7250.0,15.0,North,Basic,True,no
58.0,8000.0,24.0,South,Standard,False,no
22.0,13250.0,0.0,West,Premium,False,no
20.0,,10.0,North,Basic,True,no
31.0,7000.0,0.0,North,Basic,True,no
43.0,5250.0,25.0,East,Basic,False,yes
60.0,5500.0,24.0,East,Basic,False,yes
68.0,,34.0,North,Basic,True,no
31.0,6250.0,34.0,North,Basic,True,no
28.0,5500.0,2.0,West,Basic,True,yes
29.0,5750.0,14.0,North,Basic,False,yes
39.0,6750.0,16.0,North,Basic,True,no
34.0,7000.0,10.0,South,Basic,True,yes
64.0,8750.0,24.0,East,Standard,True,no
36.0,8750.0,9.0,South,Standard,True,no
65.0,22750.0,34.0,South,Premium,True,no
67.0,10500.0,26.0,East,Standard,True,no
48.0,,37.0,East,Premium,True,
39.0,3500.0,14.0,North,Basic,True,no
38.0,15500.0,37.0,South,Premium,False,no
28.0,4500.0,6.0,West,Basic,False,no
27.0,9250.0,0.0,South,Basic,False,no
30.0,3750.0,3.0,East,Basic,False,yes
25.0,,25.0,West,Premium,False,no
43.0,10500.0,33.0,South,Standard,False,no
28.0,12250.0,0.0,North,Premium,True,no
55.0,10250.0,29.0,West,Standard,True,no
32.0,13750.0,20.0,South,Standard,False,no
21.0,4500.0,0.0,North,Basic,True,no
28.0,13250.0,22.0,South,Premium,True,no
32.0,11750.0,22.0,East,Premium,True,no
53.0,7000.0,44.0,North,Basic,True,no
44.0,11250.0,28.0,South,Basic,True,no
44.0,9750.0,15.0,North,Standard,True,yes
,5000.0,11.0,South,Basic,True,
