id,age,city,score,joined,is_active,notes
1,25,北京,88.5,2024-01-15,true,数据整体质量良好，基本满足分析需要
2,31,上海,72.3,2023-06-02,false,字段口径稳定，可用于回归与分类任务
3,29,广州,91.6,2023-11-20,true,记录来自核心业务系统，来源可信
4,27,深圳,,2023-09-14,true,样本覆盖多个业务分区，代表性较好
5,45,北京,60.5,2023-04-11,false,采集链路运行正常，时间戳连续
6,,上海,84.2,2023-12-05,true,历史归档数据，字段完整度较高
7,26,广州,77.8,2024-02-19,true,文本内容规范，未发现乱码
8,33,深圳,88.9,2023-07-30,false,质量抽检通过，可用于下游分析
9,41,北京,,2023-10-08,true,字段缺少时间补充说明，仅作参考
10,30,上海,95.4,2023-05-21,true,用于训练前建议先做一次缺失值检查
11,35,广州,68.1,2023-08-16,true,日期字段与账期保持一致
12,28,深圳,73.7,2024-01-03,false,数值波动处于可接受范围内
13,42,北京,81.0,2023-03-27,true,抽样结果代表性良好，可放心使用
14,36,上海,,2023-06-30,true,关联主键可在多表间对齐
15,24,广州,90.2,2023-09-08,true,时间粒度统一为天级
16,39,深圳,62.9,,false,备份数据可信度较高，未见缺失
17,,北京,85.6,2023-02-12,true,注释信息完整，便于理解字段含义
18,34,上海,,2023-11-02,true,口径与上月保持一致，可直接复用
19,44,广州,70.3,2023-07-07,false,适合作为基础建模样本使用
20,32,深圳,93.8,2024-05-22,true,来源渠道已登记，数据血缘清晰
21,27,北京,76.5,2023-10-25,true,整体质量良好，仅个别字段需关注
22,37,上海,82.4,2023-12-29,false,可作为长期基线数据持续跟踪
1,25,北京,88.5,2024-01-15,true,数据整体质量良好，基本满足分析需要
